ID,DateTimeUTC,TapType,StopId,CompanyId,BusID,PAN
1,22-01-2018 13:00:00,ON,Stop1,Company1,Bus37,5500005555555559
2,22-01-2018 13:00:01,ON,Stop1,Company1,Bus37,34343434343434
3,22-01-2018 13:05:00,OFF,Stop2,Company1,Bus37,5500005555555559
4,22-01-2018 13:06:20,ON,Stop2,Company1,Bus37,5500005555555559
5,22-01-2018 13:06:25,OFF,Stop2,Company1,Bus37,34343434343434
6,22-01-2018 13:07:50,ON,Stop2,Company1,Bus37,5500005555555559
7,22-01-2018 13:07:52,ON,Stop2,Company1,Bus37,5555555555554444
8,22-01-2018 13:07:59,ON,Stop2,Company1,Bus37,4444333322221111
9,22-01-2018 13:08:02,OFF,Stop2,Company1,Bus37,4444333322221111
10,22-01-2018 13:08:05,OFF,Stop2,Company1,Bus37,5500005555555559
11,22-01-2018 13:15:40,ON,Stop3,Company1,Bus37,5500005555555559
